Date,Open,High,Low,Close,Adj Close,Volume
2018-01-01 00:00:00+05:30,90.34461975097656,92.55147552490234,89.90869903564453,90.48085021972656,89.17182159423828,7745247
2018-01-02 00:00:00+05:30,90.50809478759766,91.21646881103516,88.3557357788086,89.30931091308594,88.0172348022461,4977129
2018-01-03 00:00:00+05:30,89.30931091308594,98.21844482421875,89.30931091308594,96.0115966796875,94.62255096435547,39032205
2018-01-04 00:00:00+05:30,95.90261840820312,100.91571044921875,94.89454650878906,99.8803939819336,98.43537902832031,22778210
2018-01-05 00:00:00+05:30,100.69774627685547,105.87430572509766,99.38998413085938,105.24767303466797,103.72501373291016,21144683
2018-01-08 00:00:00+05:30,104.9479751586914,109.525146484375,104.78450775146484,107.04584503173828,105.49715423583984,15147523
2018-01-09 00:00:00+05:30,107.89044189453125,108.40809631347656,105.76532745361328,106.74614715576172,105.20178985595703,8653790
2018-01-10 00:00:00+05:30,106.85513305664062,111.07811737060547,106.8006362915039,108.32636260986328,106.7591552734375,21411711
2018-01-11 00:00:00+05:30,107.89044189453125,110.99638366699219,106.55543518066406,109.90657806396484,108.3165054321289,10238800
2018-01-12 00:00:00+05:30,110.0700454711914,111.02362823486328,105.84706115722656,108.9530029296875,107.37672424316406,9577781
2018-01-15 00:00:00+05:30,109.525146484375,110.17903137207031,107.5090103149414,107.99942016601562,106.43693542480469,5453962
2018-01-16 00:00:00+05:30,108.2718734741211,108.48983764648438,102.55040740966797,106.03778076171875,104.50367736816406,13454300
2018-01-17 00:00:00+05:30,105.81981658935547,112.086181640625,102.3869400024414,111.45954895019531,109.84701538085938,17383941
2018-01-18 00:00:00+05:30,112.2496566772461,113.06700134277344,102.82286071777344,106.3919677734375,104.85275268554688,24303136
2018-01-19 00:00:00+05:30,106.3919677734375,109.525146484375,102.74112701416016,108.8167724609375,107.24246978759766,25753085
2018-01-22 00:00:00+05:30,107.89044189453125,110.2607650756836,106.8006362915039,108.38085174560547,106.81285095214844,10534230
2018-01-23 00:00:00+05:30,108.65330505371094,111.84098052978516,106.85513305664062,111.3778076171875,109.76644897460938,13877472
2018-01-24 00:00:00+05:30,111.32331848144531,113.09425354003906,108.9802474975586,111.97720336914062,110.357177734375,14325102
2018-01-25 00:00:00+05:30,111.70475006103516,117.56243896484375,109.96106719970703,116.82682037353516,115.13663482666016,24286217
